iter	Passed	Remaining
222	545941	1167776
223	548239	1165008
224	550463	1162089
225	552769	1159348
226	555021	1156498
227	557320	1153750
228	559642	1151054
229	561973	1148379
230	564261	1145622
231	566790	1143352
232	569438	1141320
233	571825	1138763
234	574240	1136262
235	576539	1133534
236	578783	1130704
237	581075	1127970
238	583362	1125230
239	585620	1122438
240	587860	1119617
241	590147	1116890
242	592399	1114101
243	594666	1111343
244	597212	1109108
245	599429	1106264
246	601679	1103484
247	604085	1100995
248	606337	1098225
249	608617	1095511
250	610885	1092779
251	613158	1090058
252	615412	1087310
253	617692	1084609
254	619892	1081773
255	622183	1079098
256	624444	1076376
257	626710	1073667
258	628983	1070971
259	631251	1068271
260	633541	1065611
261	635832	1062955
262	638112	1060285
263	640394	1057621
264	642683	1054970
265	644940	1052271
266	647189	1049561
267	649456	1046884
268	651717	1044202
269	653982	1041528
270	656257	1038872
271	658477	1036133
272	660723	1033439
273	662999	1030794
274	665230	1028083
275	667473	1025393
276	669742	1022748
277	672021	1020119
278	674282	1017465
279	676524	1014786
280	678797	1012156
281	681038	1009482
282	683252	1006771
283	685488	1004095
284	687737	1001442
285	690011	998827
286	692284	996214
287	694538	993576
288	696820	990979
289	699128	988423
290	701424	985851
291	703675	983217
292	705926	980586
293	708210	978005
294	710460	975378
295	712723	972771
296	714975	970151
297	717185	967478
298	719431	964856
299	721662	962216
300	723957	959665
301	726245	957105
302	728510	954517
303	730803	951967
304	733100	949424
305	735376	946857
306	737621	944251
307	739887	941674
308	742210	939173
309	744460	936579
310	746694	933968
311	748970	931411
312	751503	929174
313	754012	926906
314	756460	924562
315	759810	923313
316	764321	923454
317	768316	922946
318	772014	922061
319	774520	919742
320	777654	918165
321	780904	916714
322	783762	914794
323	787095	913419
324	790208	911778
325	792834	909570
326	795691	907623
327	799372	906604
328	803470	906041
329	808041	905985
330	812228	905475
331	815548	903981
332	817937	901450
333	820375	898974
334	822754	896433
335	825171	893935
336	827704	891562
337	830342	889301
338	833408	887494
339	836956	886189
340	840018	884359
341	842923	882358
342	845992	880522
343	848654	878259
344	852369	877075
345	857003	876818
346	861502	876398
347	865776	875727
348	869122	874102
349	872393	872393
350	874680	869696
351	876945	866980
352	879198	864254
353	881465	861545
354	883717	858824
355	885973	856109
356	888243	853410
357	890495	850696
358	892736	847975
359	895005	845283
360	897411	842721
361	899745	840093
362	902034	837425
363	904360	834794
364	906625	832108
365	908876	829411
366	911089	826683
367	913297	823953
368	915571	821284
369	917819	818595
370	920040	815885
371	922291	813203
372	924534	810516
373	926769	807825
374	928977	805114
375	931199	802416
376	933404	799707
377	935699	797077
378	937944	794406
379	940220	791764
380	942438	789076
381	944639	786375
382	946832	783670
383	949107	781035
384	951360	778385
385	953575	775706
386	955835	773065
387	958125	770451
388	960358	767793
389	962619	765158
390	964888	762533
391	967158	759910
392	969470	757321
393	971799	754747
394	974033	752101
395	976244	749440
396	978483	746802
397	980747	744185
398	982959	741530
399	985190	738893
400	987442	736272
401	989737	733686
402	992005	731081
403	994377	728553
404	996641	725949
405	998874	723323
406	1001158	720735
407	1003379	718104
408	1005632	715498
409	1007854	712872
410	1010034	710218
411	1012251	707593
412	1014487	704982
413	1016729	702378
414	1019005	699799
415	1021335	697258
416	1023643	694702
417	1025982	692169
418	1028433	689712
419	1030810	687207
420	1033161	684684
421	1035507	682158
422	1038028	679749
423	1040402	677243
424	1042829	674772
425	1045113	672209
426	1047367	669628
427	1049583	667025
428	1051832	664444
429	1054095	661874
430	1056343	659295
431	1058571	656706
432	1060849	654149
433	1063048	651546
434	1065388	649029
435	1067624	646451
436	1069853	643870
437	1072085	641292
438	1074338	638729
439	1076569	636154
440	1078798	633579
441	1081013	630999
442	1083266	628441
443	1085555	625905
444	1087767	623327
445	1090044	620787
446	1092313	618244
447	1094587	615705
448	1096840	613155
449	1099064	610591
450	1101339	608056
451	1103619	605525
452	1105858	602973
453	1108106	600427
454	1110446	597932
455	1112720	595403
456	1114951	592851
457	1117210	590316
458	1119452	587773
459	1121693	585231
460	1123936	582691
461	1126199	580163
462	1128424	577616
463	1130690	575092
464	1132939	572560
465	1135112	569992
466	1137331	567448
467	1139613	564936
468	1141861	562409
469	1144085	559871
470	1146334	557347
471	1148556	554811
472	1150761	552268
473	1153012	549748
474	1155282	547239
475	1157558	544733
476	1159805	542214
477	1162021	539683
478	1164203	537137
479	1166447	534621
480	1168713	532116
481	1170981	529613
482	1173254	527114
483	1175478	524593
484	1177761	522100
485	1180071	519619
486	1182303	517106
487	1184533	514592
488	1186754	512075
489	1188926	509540
490	1191120	507014
491	1193368	504513
492	1195582	501999
493	1197809	499491
494	1200029	496982
495	1202458	494559
496	1204924	492152
497	1207218	489675
498	1209524	487203
499	1211730	484692
500	1213982	482200
501	1216254	479717
502	1218461	477210
503	1220723	474725
504	1222961	472232
505	1225166	469727
506	1227429	467246
507	1229644	464747
508	1231811	462231
509	1234070	459751
510	1236357	457282
511	1238645	454815
512	1240881	452329
513	1243129	449848
514	1245400	447376
515	1247611	444884
516	1249838	442399
517	1252089	439923
518	1254312	437438
519	1256555	434961
520	1258776	432477
521	1260999	429995
522	1263210	427511
523	1265401	425020
524	1267585	422528
525	1269872	420071
526	1272075	417588
527	1274335	415124
528	1276587	412658
529	1278830	410191
530	1281048	407716
531	1283250	405236
532	1285492	402771
533	1287724	400303
534	1289925	397827
535	1292164	395363
536	1294374	392891
537	1296623	390432
538	1298888	387979
539	1301107	385513
540	1303369	383060
541	1305608	380601
542	1307828	378138
543	1310050	375676
544	1312270	373214
545	1314515	370760
546	1316735	368300
547	1318935	365836
548	1321192	363388
549	1323470	360946
550	1325710	358495
551	1327949	356044
552	1330187	353594
553	1332370	351130
554	1334614	348683
555	1336863	346237
556	1339107	343792
557	1341375	341353
558	1343581	338899
559	1345767	336441
560	1348005	333997
561	1350232	331551
562	1352461	329106
563	1354652	326653
564	1356889	324212
565	1359127	321772
566	1361343	319327
567	1363570	316886
568	1365895	314468
569	1368141	312032
570	1370357	309590
571	1372628	307161
572	1374858	304724
573	1377068	302283
574	1379271	299841
575	1381485	297403
576	1383667	294958
577	1385873	292520
578	1388073	290081
579	1390304	287649
580	1392525	285215
581	1394752	282784
582	1396972	280352
583	1399219	277927
584	1401464	275501
585	1403687	273072
586	1405949	270651
587	1408090	268207
588	1410313	265780
589	1412584	263363
590	1414782	260932
591	1417047	258515
592	1419312	256098
593	1421520	253671
594	1423796	251258
595	1425991	248830
596	1428188	246404
597	1430407	243982
598	1432624	241561
599	1434868	239144
600	1437054	236719
601	1439303	234305
602	1441529	231887
603	1443809	229479
604	1446008	227059
605	1448496	224684
606	1450899	222295
607	1453120	219880
608	1455308	217459
609	1457510	215042
610	1459781	212635
611	1461996	210221
612	1464230	207810
613	1466476	205402
614	1468632	202981
615	1470813	200565
616	1472982	198148
617	1475221	195741
618	1477452	193333
619	1479651	190922
620	1481866	188514
621	1484066	186104
622	1486327	183703
623	1488510	181292
624	1490729	178887
625	1492954	176483
626	1495185	174080
627	1497413	171677
628	1499642	169276
629	1501958	166884
630	1504309	164496
631	1506563	162098
632	1508890	159708
633	1511093	157306
634	1513349	154909
635	1515572	152510
636	1517762	150108
637	1519989	147710
638	1522238	145315
639	1524454	142917
640	1526683	140521
641	1528897	138124
642	1531163	135732
643	1533357	133335
644	1535555	130938
645	1537765	128543
646	1540002	126151
647	1542239	123759
648	1544435	121365
649	1546670	118974
650	1548937	116586
651	1551205	114199
652	1553450	111810
653	1555670	109420
654	1557910	107032
655	1560124	104642
656	1562368	102255
657	1564569	99866
658	1566779	97477
659	1569057	95094
660	1571279	92707
661	1573540	90324
662	1575758	87938
663	1577935	85550
664	1580195	83168
665	1582432	80784
666	1584613	78399
667	1586783	76013
668	1589024	73631
669	1591289	71251
670	1593557	68872
671	1595818	66492
672	1598053	64112
673	1600302	61732
674	1602550	59353
675	1604748	56973
676	1606953	54593
677	1609134	52213
678	1611510	49840
679	1613836	47465
680	1616050	45088
681	1618312	42712
682	1620525	40335
683	1622737	37958
684	1624957	35583
685	1627170	33207
686	1629449	30833
687	1631711	28460
688	1633905	26085
689	1636126	23711
690	1638393	21339
691	1640665	18967
692	1642865	16594
693	1645156	14223
694	1647440	11852
695	1649693	9480
696	1651985	7110
697	1654300	4740
698	1656554	2369
699	1658800	0
