iter	Accuracy	MultiClass
294	0.6754192557	1.068120788
295	0.6754860694	1.066960375
296	0.6768223425	1.066004836
297	0.6777577337	1.065340281
298	0.6782254293	1.064247208
299	0.6788267522	1.06333776
300	0.6789603795	1.062025967
301	0.679828957	1.061002674
302	0.6803634663	1.060018435
303	0.6811652302	1.058841513
304	0.6819001804	1.057477871
305	0.6825015033	1.056055401
306	0.682367876	1.05494429
307	0.6828355716	1.05381494
308	0.6839045901	1.052722361
309	0.6842386584	1.05182029
310	0.6849736086	1.050576914
311	0.6857085588	1.049518799
312	0.6858421861	1.048504267
313	0.6860426271	1.047311809
314	0.68664395	1.04585146
315	0.6873120866	1.044754066
316	0.6882474778	1.043789118
317	0.689182869	1.042328866
318	0.6899846329	1.040842591
319	0.6906527694	1.039392024
320	0.6916549743	1.038219314
321	0.6917217879	1.036863759
322	0.6927239928	1.035672434
323	0.6933921294	1.034451692
324	0.6942607069	1.033232701
325	0.6940602659	1.032219418
326	0.6951960981	1.031183237
327	0.6959310483	1.030140515
328	0.6967328122	1.028985856
329	0.6971336941	1.0277545
330	0.6976013897	1.026488547
331	0.6978018307	1.025324181
332	0.6988708492	1.024162714
333	0.6990712902	1.022962187
334	0.6999398677	1.021611569
335	0.700273936	1.020609335
336	0.7007416316	1.019313996
337	0.7023451594	1.017877857
338	0.7025456003	1.016594875
339	0.7028796686	1.015503357
340	0.7036814325	1.014223904
341	0.70455001	1.013089683
342	0.7060867241	1.011723713
343	0.7068216744	1.010352986
344	0.707088929	1.009155917
345	0.706888488	1.008119915
346	0.7077570655	1.007024057
347	0.7082247611	1.005727575
348	0.7086256431	1.004176465
349	0.7093605933	1.002747451
350	0.709026525	1.001835851
351	0.7096946616	1.000776776
352	0.7102959845	0.9995859864
353	0.7104964255	0.9981813745
354	0.7106968664	0.9972565158
355	0.711565444	0.9963637001
356	0.7123003942	0.9952196155
357	0.7126344625	0.9941295228
358	0.7133694127	0.9927958595
359	0.7141711766	0.9917391068
360	0.7148393132	0.990733351
361	0.7153070088	0.9895207126
362	0.7157078907	0.9882772339
363	0.716041959	0.9870318044
364	0.7169105365	0.9859427503
365	0.7175786731	0.9848734677
366	0.7185808779	0.9839060868
367	0.7189817599	0.982827147
368	0.7192490145	0.9813019782
369	0.7202512193	0.9801021338
370	0.720518474	0.9791493467
371	0.7215874925	0.9779321849
372	0.7217211198	0.9766786539
373	0.7225228837	0.9753196627
374	0.7231242066	0.9743914072
375	0.7237255295	0.9734710673
376	0.7246609207	0.9724188243
377	0.7251954299	0.9712821339
378	0.7260640075	0.9702082793
379	0.7262644485	0.9691323629
380	0.7275339079	0.9676960214
381	0.7282688582	0.9667014464
382	0.7290038084	0.9656747712
383	0.729271063	0.9644758598
384	0.7300060132	0.9632126405
385	0.7312754727	0.9625017902
386	0.7324113049	0.9612451104
387	0.7323444912	0.9597428921
388	0.7331462551	0.9585783171
389	0.7341484599	0.9574207999
390	0.7350838511	0.956379709
391	0.7356183604	0.9554240824
392	0.7366205652	0.9544842727
393	0.7364869379	0.95362166
394	0.7370882608	0.9526152852
395	0.7380904657	0.9516462625
396	0.7378232111	0.95055053
397	0.7386917886	0.9493289154
398	0.7390258569	0.9483869781
399	0.7396271798	0.9473077425
400	0.74036213	0.9462827635
401	0.7419656578	0.9451526071
402	0.7422329124	0.9442163668
403	0.7432351173	0.9431939792
404	0.7435023719	0.9418892555
405	0.7439700675	0.9411531962
406	0.7453731543	0.9399552149
407	0.7451727133	0.939129859
408	0.7460412908	0.938131425
409	0.746976682	0.937161747
410	0.7476448186	0.9362710746
411	0.7486470235	0.9351842419
412	0.749114719	0.934249744
413	0.74931516	0.9332298988
414	0.7504509922	0.9323089628
415	0.7517204517	0.9313314667
416	0.7524554019	0.9301486307
417	0.7527894702	0.9291106877
418	0.753791675	0.9276764176
419	0.7543929979	0.9267340114
420	0.7541257433	0.9257090714
421	0.7547270662	0.9245900629
422	0.7558628984	0.9234991723
423	0.7562637803	0.9226833199
424	0.7574664261	0.9216313328
425	0.7573996125	0.9206635222
426	0.7575332398	0.9196016898
427	0.7578673081	0.9186375802
428	0.7586022583	0.9176114157
429	0.7590699539	0.9164506329
430	0.7606734817	0.9153650422
431	0.7611411773	0.9144078481
432	0.7621433821	0.9133562012
433	0.7624774504	0.9123816331
434	0.7638137235	0.9115388394
435	0.7644150464	0.9104749179
436	0.7649495557	0.9096571359
437	0.7650163693	0.9087869907
438	0.7658849469	0.9078794566
439	0.7662858288	0.9070352205
440	0.7666867108	0.9060651388
441	0.767020779	0.9054252376
442	0.7679561702	0.9046171683
443	0.7688247478	0.9034744896
444	0.7696265117	0.9027687449
445	0.7700942073	0.9018255578
446	0.7706955302	0.9009085953
447	0.7712968531	0.8999117275
448	0.771898176	0.8991069766
449	0.7717645487	0.8981170611
450	0.7720318033	0.8971558777
451	0.7731676355	0.8960064301
452	0.7737021447	0.8951416721
453	0.7747711632	0.8939792516
454	0.775973809	0.8929824329
455	0.7762410637	0.8918753271
456	0.7765083183	0.8909450545
457	0.7769092002	0.8898860631
458	0.7773768958	0.8889320255
459	0.7776441505	0.8880736099
460	0.778512728	0.8870923198
461	0.7798490011	0.8859150303
462	0.7799826284	0.884831794
463	0.7802498831	0.8838548861
464	0.7807843923	0.8829302514
465	0.7809848333	0.8823994171
466	0.7816529699	0.8815790784
467	0.7823879201	0.880373751
468	0.782989243	0.8794704992
469	0.7835905659	0.8787468597
470	0.7828556157	0.8777333461
471	0.7833233113	0.8769746069
472	0.7847263981	0.8761918685
473	0.7851940937	0.8752378545
474	0.7864635532	0.8742489411
475	0.7868644351	0.8733566716
476	0.7867976214	0.8723725967
477	0.7882675219	0.8714889867
478	0.7882675219	0.8706664132
479	0.7875325717	0.8699562245
480	0.7888688448	0.8688249142
481	0.7898710496	0.8677932837
482	0.7898710496	0.866919414
483	0.7908064408	0.8661203124
484	0.7912073228	0.865339567
485	0.7916750184	0.8644042492
486	0.791741832	0.863487398
487	0.7928776642	0.8625008407
488	0.7930112915	0.8617858089
489	0.7933453598	0.8612102293
490	0.7944143783	0.8603944754
491	0.7950157012	0.8594790023
492	0.7952161422	0.8586467398
493	0.7956838378	0.8578553952
494	0.7953497695	0.8570898305
495	0.7962851607	0.8561540344
496	0.7965524153	0.855312154
497	0.7979555021	0.854338392
498	0.7988240796	0.8532504701
499	0.7990913343	0.8525190847
500	0.8003607937	0.8515166674
501	0.7999599118	0.8508660537
502	0.8006280484	0.8501144825
503	0.8014966259	0.8489854802
504	0.8020311352	0.8481024985
505	0.8022983898	0.8473440811
506	0.803233781	0.8464775937
507	0.8037014766	0.8457404768
508	0.8043696131	0.8451248438
509	0.8049041224	0.8442009109
510	0.8060399546	0.8432324489
511	0.8065076502	0.8425507818
512	0.8069753458	0.8417164101
513	0.807509855	0.8406920761
514	0.8083116189	0.8396438879
515	0.8087125008	0.8389095953
516	0.8089797555	0.8383047907
517	0.809647892	0.8374969786
518	0.8099151467	0.8367223581
519	0.810048774	0.8358915497
520	0.8103828423	0.8349477665
521	0.8104496559	0.8342987538
522	0.8108505378	0.8335095252
523	0.8114518608	0.8328119333
524	0.8123204383	0.8321814994
525	0.812186811	0.831288504
526	0.8138571524	0.8305478237
527	0.8142580343	0.8295859239
528	0.8148593573	0.8285140146
529	0.8149929846	0.8276771561
530	0.8154606802	0.8267040792
531	0.8158615621	0.8259571867
532	0.816462885	0.8249426455
533	0.8171978352	0.8240862712
534	0.8177323445	0.8234455695
535	0.8180664128	0.8224830528
536	0.819001804	0.8216537133
537	0.8197367542	0.82066369
538	0.8205385181	0.8195227994
539	0.8208057727	0.8187897845
540	0.821139841	0.8179406585
541	0.8216743502	0.8170830278
542	0.8220084185	0.8164401027
543	0.823277878	0.815569016
544	0.8239460146	0.8148418419
545	0.8239460146	0.814076125
546	0.8246141511	0.8133479735
547	0.8246141511	0.8126395654
548	0.8250150331	0.8117435481
549	0.825616356	0.8109297672
550	0.8262176789	0.8100443654
551	0.8264181199	0.8090494499
552	0.8268858155	0.8084007212
553	0.8276207657	0.8080129574
554	0.8270862564	0.8070483484
555	0.8274203247	0.8061548497
556	0.8284225296	0.805112578
557	0.8285561569	0.8042937904
558	0.8290238525	0.8036359076
559	0.8299592437	0.8029552072
560	0.8301596846	0.8020909754
561	0.8306941939	0.8014003452
562	0.8309614485	0.8007875646
563	0.8311618895	0.8000934215
564	0.8315627714	0.7992717647
565	0.8316963987	0.7984429175
566	0.8322977217	0.7977269403
567	0.8330994855	0.7969476213
568	0.8336339948	0.7960468792
569	0.834569386	0.7950574598
570	0.8350370816	0.7943512427
571	0.8346361996	0.7935607331
572	0.8357052181	0.7928163508
573	0.8360392864	0.7921566079
574	0.8359056591	0.791468106
575	0.8366406093	0.790755664
576	0.8367742367	0.7901528618
577	0.836907864	0.78965645
578	0.8374423732	0.7890347648
579	0.8374423732	0.788327192
580	0.8376428142	0.7877185919
581	0.8381773234	0.7870549439
582	0.8382441371	0.786296067
583	0.83884546	0.7856564998
584	0.8399144785	0.7846692076
585	0.8401817331	0.7839619634
586	0.8409166834	0.7829336658
587	0.840983497	0.7823919346
588	0.841384379	0.7817336933
589	0.8421193292	0.780936435
590	0.8427206521	0.7804747176
591	0.8434556023	0.7796861066
592	0.8437896706	0.7787459391
593	0.8437896706	0.7781172909
594	0.8445914345	0.7772283029
595	0.8457940803	0.7765563102
596	0.8455268257	0.7759547856
597	0.845660453	0.7754143846
598	0.8462617759	0.7747790988
599	0.8466626578	0.7740227765
600	0.8470635398	0.7735400615
601	0.8475312354	0.7727324415
602	0.847998931	0.7719537307
603	0.8481325583	0.7711230987
604	0.8483329993	0.7703807271
605	0.8482661856	0.7696237039
606	0.8489343222	0.7689665552
607	0.8494688314	0.7681963938
608	0.8496024587	0.7676074902
609	0.8502705953	0.7670110252
610	0.8512059865	0.7661436067
611	0.8515400548	0.7654837079
612	0.8512059865	0.7648629101
613	0.852074564	0.7639344721
614	0.8520077504	0.7634961393
615	0.8528095143	0.7629888997
616	0.8533440235	0.7624771364
617	0.8539453464	0.7616520674
618	0.8539453464	0.7609423587
619	0.854613483	0.7603634464
620	0.8550143649	0.7597179729
621	0.854813924	0.7591801757
622	0.854813924	0.758432152
623	0.8554152469	0.7579420012
624	0.8558161288	0.7573457463
625	0.8561501971	0.756759943
626	0.8566847064	0.7559486921
627	0.857152402	0.755333607
628	0.8574864702	0.754480405
629	0.8580877931	0.7537443507
630	0.8582882341	0.7529742824
631	0.8584218614	0.7520977373
632	0.8592236253	0.7513166254
633	0.8594908799	0.750695345
634	0.8595576936	0.7501086459
635	0.8598917619	0.7494802369
636	0.8604262711	0.7489076224
637	0.8610944077	0.7481819496
638	0.8611612214	0.7473423431
639	0.8618293579	0.7467518491
640	0.8624306808	0.7461018278
641	0.8632992584	0.7452999956
642	0.8641678359	0.7444666971
643	0.8640342086	0.7439149405
644	0.8643682769	0.743357794
645	0.8651032271	0.7427794303
646	0.8653036681	0.7421479868
647	0.8654372954	0.7413831399
648	0.865904991	0.7408321508
649	0.8663058729	0.7400574284
650	0.8672412641	0.7391865769
651	0.8677089597	0.7383645549
652	0.8683102826	0.7374474568
653	0.8685775372	0.7367698618
654	0.8687779782	0.736143515
655	0.8686443509	0.7355336338
656	0.8693793011	0.7347604161
657	0.8697801831	0.7341095514
658	0.8704483196	0.733668699
659	0.8704483196	0.7329428446
660	0.8709828289	0.7321973443
661	0.8714505245	0.7313117802
662	0.8721186611	0.7307367798
663	0.8721186611	0.7301992947
664	0.8727867976	0.7293626781
665	0.8731876796	0.7288149694
666	0.8729204249	0.7283684229
667	0.8729872386	0.727909331
668	0.8735217478	0.727201887
669	0.8740562571	0.7264421675
670	0.8752589029	0.7256066927
671	0.8757265985	0.7246496947
672	0.8761942941	0.7239368925
673	0.8762611078	0.7232415769
674	0.8765283624	0.722570129
675	0.8767288034	0.7220795574
676	0.877196499	0.7214468096
677	0.8772633126	0.7208792401
678	0.8773301263	0.7201763488
679	0.8775973809	0.7194740713
680	0.8778646355	0.7189329899
681	0.8785327721	0.7181698906
682	0.879134095	0.7176056849
683	0.8798022316	0.7169989141
684	0.8800026725	0.7163856104
685	0.8806039955	0.7159185927
686	0.8804703681	0.7152177962
687	0.8808712501	0.7146410454
688	0.8811385047	0.7141631883
689	0.8809380637	0.7135941941
690	0.8818066413	0.7128277689
691	0.8818734549	0.7122824059
692	0.8820738959	0.7118089498
693	0.8820738959	0.7111991187
694	0.8824747778	0.7104570095
695	0.8828756598	0.7098818536
696	0.8832097281	0.7091368095
697	0.8840114919	0.7083404018
698	0.8846128149	0.7076757716
699	0.8842787466	0.7069912446
